"ID","SMILES","HOMO","LUMO","LUMO+1","f(S1)","f(S2)","E(S1)","E(T1)","dS1T1","EHOMO","ELUMO","ΔELL+1","fmax","ΔES1T1","consensus Log Po/w","λ"
"AFUSAW","FC(F)(F)c1ccc2N=C3C=C4Oc5cc(ccc5N=C4C=C3Oc2c1)C(F)(F)F",-7.00230571,-2.78562949,-0.8114435,1.1382,0.0,2.82860001692224,1.30193388787046,1.52666612905178,"","","","","","",""
"AFUTEC","CN1CC(=Cc2ccc(cc2)N(=O)=O)C(=O)C2(C1)C(C1CSCN1C12C(=O)c2cccc3cccc1c23)c1ccc(cc1)N(=O)=O",-7.63197716,-2.19895203,-1.48274837,0.0039,0.0044,3.33980001998052,3.09788502904796,0.241914990932569,"","","","","","",""
"AGAFOF","O=N(=O)C1=C(NCc2ccccc2)C(=C(N(Cc2ccccc2)Cc2ccccc2)C2=NON=C12)N(=O)=O",-7.68313457,-2.34017911,-1.15920499999999,0.0962,0.0723,3.2331000193422,2.47246590214914,0.76063411719305,"","","","","","",""
"AGAFUL","O=N(=O)C1=C(N(Cc2ccccc2)Cc2ccccc2)C2=NO[N+](=C2C(=C1N(Cc1ccccc1)Cc1ccccc1)N(=O)=O)[O-]",-7.394966,-2.42861612,-1.19077021,0.0612,0.0893,2.854300017076,1.76966521533466,1.08463480174134,"","","","","","",""
"AGAMEC","CCOC1=CC=CC(=Nc2cc(C)c(C)cc2N(c2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)S(=O)(=O)Cc2ccccc2)C2=C(C)OC(=C12)C",-7.05944962,-2.41092872,-1.88302785,0.0039,0.0129,2.87020001717113,2.55023223102675,0.31996778614437,"","","","","","",""
"AGAXEN","CC1=C(C#N)C(=O)NC1=Cc1ccc(cc1)N(=O)=O",-8.33239822,-2.6876685,-1.47730609,0.001,0.848,3.65030002183812,2.55542683001699,1.09487319182112,"","","","","","",""
"AGEFEZ","O=C1c2ccc(cc2C(=O)c2cc(ccc12)S(=O)(=O)Nc1ccccc1)S(=O)(=O)Nc1ccccc1",-8.28505041,-2.69719249,-1.55839602,0.0001,0.0,3.10960001860335,2.89956818269831,0.210031835905039,"","","","","","",""
"AGEFID","[O-]c1ccc2ccccc2c1N=[NH+]c1ccccc1C#N",-7.22135736,-2.14888308,-0.55375169,0.0188,0.4696,2.91250001742419,1.93592909096532,0.97657092645887,"","","","","","",""
"AGEMOQ","CCOC(=O)C=C1C(=O)Oc2ccc(Cl)cc12",-8.09157746,-2.2318778,0.10313115,0.123,0.0026,3.75600002247047,2.78528118183754,0.970718840632929,"","","","","","",""
"AGIDOL","CNC1=C(Cl)C(=O)c2ccccc2C1=O",-7.29945404,-2.13827064,-0.28435897,0.053,0.0002,2.9684000177586,2.00886852830814,0.959531489450469,"","","","","","",""
"AGIDUR","CCNC1=C(Cl)C(=O)c2ccccc2C1=O",-7.31387607,-2.20793178,-0.28327052,0.0489,0.0001,2.89560001732308,1.97100823983118,0.9245917774919,"","","","","","",""
"AGIVAP","CCN(CC)c1ccc(C=C2[NH+]=C(C)C=C2C)c(O[B-](F)(F)F)c1",-6.88094294,-2.21473463,0.77035431,1.1701,0.0572,3.10300001856387,1.92308436482243,1.17991565374143,"","","","","","",""
"AGUPIB","Fc1ccc(cc1Br)C1C2=CCN3N(C2CC2=C1C(=O)C=C(Br)C2=O)C(=O)N(C3=O)c1ccccc1",-8.27552642,-3.00930707,-0.34286345,0.0001,0.0001,2.74930001644784,2.77008852134929,-0.02078850490145,"","","","","","",""
"AHAZOA","CCCCCCC1=CSC(=C1)C1=NSN=C(N=S=N1)C1=CC(=CS1)CCCCCC",-6.97781547,-2.12820242,-0.80817814,0.0694,0.0,3.17030001896649,2.10228167570118,1.0680183432653,"","","","","","",""
"AHEGIE","CN(C)c1ccc(cc1)C(C=Cc1ccc(cc1)C#N)=C(C#N)C#N",-7.17019996,-2.45609961,-0.76600049,0.2446,1.047,3.10840001859617,2.37793708796878,0.73046293062739,"","","","","","",""
"AHESIR","Cc1ccc(N=Nc2ccc(C)cc2[Si](F)(F)F)c(c1)[Si](F)(F)F",-8.14382332,-2.67515126,-0.34150288,0.0,0.7005,3.19710001912682,2.83657926859635,0.36052075053047,"","","","","","",""
"AHEYUI","Fc1cccc(F)c1C1=C2C=C3C(=O)c4ccccc4C(=C3C=C2C(=O)c2ccccc12)c1c(F)cccc1F",-6.58052925,-2.92984983,-1.33281364,0.8611,0.0,2.33080001394414,0.964950000222173,1.36585001372196,"","","","","","",""
"AHIKEJ","[Se]1N=C2N=CC(=NC2=N1)c1ccccc1",-8.10627161,-2.46589571,-0.39674199,0.0008,0.4759,3.01250001802244,2.72565287377613,0.28684714424631,"","","","","","",""
"AHOZED","O=N(=O)c1ccc(cc1)C#CC1=C2CCCC2=C(c2ccccc2)P1(=O)c1ccccc1",-7.24693607,-2.14235234,-1.25063526,0.7459,0.0052,3.18060001902811,2.2935243782948,0.887075640733309,"","","","","","",""
"AHUGAM","CCOC(=O)C(=NNC1=C(O)C(=O)c2ccccc2C1=O)C(=O)c1ccccc1",-7.60068407,-2.42072481,-1.07539394,0.1468,0.0089,3.08870001847831,2.15491230398806,0.933787714490259,"","","","","","",""
"AJANEG","CCc1ccc(cc1)C(=O)C1=C(SC)SC(=O)C1=O",-8.12395901,-2.19786357,-0.87457392,0.0001,0.0094,2.58370001545712,2.44922302550057,0.13447698995655,"","","","","","",""
"AJAYEQ","Oc1ccc2N=C3C=CC(=O)C=C3[Se]c2c1",-6.99250962,-2.71624046,-0.17796246,0.0002,0.2883,2.48000001483673,1.62304374195898,0.85695627287775,"","","","","","",""
"AJEPOW","CC(C)[Si](C#CC1=C2N=S=NC2=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C2=NSN=C12)(C(C)C)C(C)C",-6.93509359,-3.11842473,-0.63810698,0.4311,0.0006,2.27240001359475,1.02654623564618,1.24585377794858,"","","","","","",""
"AJESAK","CC1=NOC(=O)C1=Cc1ccccc1O",-7.98926265,-2.23895276,0.48953282,0.0024,0.4915,3.80240002274806,2.45714001471177,1.34526000803629,"","","","","","",""
"AJEXAP","N#CC(C#N)=C(C=Cc1ccccc1)c1ccccc1",-7.87470272,-2.22425861,-0.28816857,0.8575,0.1848,3.9150000234217,2.55855194874064,1.35644807468106,"","","","","","",""
